gene,fc_1,fc_2
SH3BGRL3,1.754822001,4.954895928
DHDDS,2.894610496,4.465688402
HMGN2,0.465830197,1.663819308
PIGV,1.810152992,1.786787127
RPS6KA1,1.776514132,1.309809937
GPN2,2.367527032,1.811474864
C1orf172,0.066107682,0.04782093
NUDC,3.907760363,2.577064441
WDTC1,1.323290177,1.258531026
TMEM222,1.788247014,1.224475523
MAP3K6,1.157028516,1.641620854
SYTL1,0.078927243,0.115947251
IFI6,99.44983384,6.410023859
WASF2,2.68041826,2.054413667
STX12,1.117791401,0.956165492
RPA2,0.853315354,1.401433475
PPP1R8,1.686735454,1.692312174
DNAJC8,3.109410989,2.257876475
ATPIF1,1.326697526,1.131125598
SESN2,1.283208363,3.790573656
MED18,3.93035,2.235944074
TAF12,3.048142219,2.621696489
TRNAU1AP,0.948571637,1.297991169
SNHG12,4.33050139,7.309317286
SNHG3,3.563857977,2.367311806
RCC1,1.342628784,2.610879125
YTHDF2,1.685646498,0.968451926
SRSF4,1.856390721,1.730474152
MECR,1.969691859,1.192631851
EPB41,1.249837926,0.834381556
PTPRU,0.659580269,0.347267975
SNRNP40,1.846031826,2.311086014
ZCCHC17,2.749669975,2.290190764
PUM1,1.671244469,1.234774345
PEF1,2.659002333,2.355330716
SERINC2,3.47016506,2.917759847
PTP4A2,2.612263167,4.495150532
KHDRBS1,1.230651747,1.241708163
CCDC28B,0.688345004,1.020537393
TMEM234,2.929843173,1.428682072
KPNA6,2.940382132,2.290967176
TXLNA,2.592504571,1.57952309
HDAC1,0.538011441,0.76124808
MARCKSL1,0.146075119,0.030221749
EIF3I,4.240739622,2.938784703
ZBTB8OS,2.276453702,3.114621731
BSDC1,1.392622058,1.098863979
KIAA1522,2.701928228,0.372051193
TMEM54,0.673521143,0.562043309
RNF19B,3.31578751,3.989978356
RBBP4,1.289036341,1.100894234
SYNC,1.478412115,1.327758189
YARS,2.439501907,5.819275766
PHC2,2.892541425,3.996647394
ZMYM6NB,1.288642264,2.318555501
AK2,1.302951553,1.610946797
ZMYM6,2.18210207,1.265550902
ZMYM1,2.489434763,1.874531329
SFPQ,0.906523736,1.046442271
ZMYM4,1.772780777,1.079209763
KIAA0319L,2.688143462,1.04665777
NCDN,2.918445659,1.291979202
C1orf216,0.803175983,0.695607631
PSMB2,2.161105048,2.510843811
AGO1,1.436922279,0.788487416
ADPRHL2,2.849894883,1.875184275
MAP7D1,9.687757808,3.413612146
TRAPPC3,1.928235608,1.674093303
LSM10,2.253771446,1.679484819
OSCP1,0.777576688,0.839443762
THRAP3,0.799019877,0.772600471
LOC728431,42.949516,0.450648479
MRPS15,2.013103056,1.826807368
ZC3H12A,52.26702038,1.46994529
C1orf109,1.025606272,1.174507873
GNL2,3.06843677,1.622499236
YRDC,2.275873356,3.934125608
C1orf122,1.056498425,1.550462972
MEAF6,1.241467408,0.602010005
UTP11L,2.202639166,2.153459549
SF3A3,4.649763824,3.05334697
RRAGC,1.764181894,2.358417805
AKIRIN1,2.783437622,1.431220162
MYCBP,0.868419493,1.171844991
NDUFS5,1.689993378,0.931468098
TRIT1,1.587751936,1.501115611
PABPC4,3.905686619,2.742771977
PPIE,2.949652569,2.257588505
PPT1,2.663769777,3.210590121
RLF,1.918035561,1.623133362
MACF1,5.175712517,2.435464703
ZMPSTE24,1.087545449,0.719857932
SMAP2,5.183989756,3.19663467
CTPS1,2.916866885,4.942402475
NFYC,1.406552939,0.951247614
CAP1,4.27126852,4.450337843
SCMH1,1.989762172,1.035102902
PPIH,1.264402318,3.103803809
PPCS,1.681793451,1.061364367
FOXJ3,2.155428266,1.45100853
C1orf50,1.462565171,0.959746796
LEPRE1,9.978596368,3.727268036
CCDC23,1.094956523,1.737602784
YBX1,1.646488638,1.575087374
TMEM125,0.002956415,0.001469239
EBNA1BP2,4.203177233,9.46551774
SLC2A1,6.027286143,5.942883619
MED8,2.629894559,4.264719075
ELOVL1,0.662558746,1.257410136
KDM4A,1.302693313,0.80795399
IPO13,1.58831896,0.894421095
DPH2,3.422834702,5.013834045
ATP6V0B,1.021820983,1.328507232
PTPRF,1.574433994,0.758133343
DMAP1,2.690125893,1.612896297
ERI3,2.748099898,1.621265658
SLC6A9,1.120046478,3.403940256
RNF220,2.150697016,2.077463965
B4GALT2,1.688137705,2.148262373
EIF2B3,1.63197662,1.559726084
HECTD3,2.772322291,1.882507869
UROD,2.884246893,2.768769771
MUTYH,2.13305983,2.672581125
NASP,0.754252083,1.362695264
AKR1A1,1.218435389,0.354306899
TMEM69,2.165276917,1.382428524
IPP,0.812760344,0.550156135
PIK3R3,0.168737737,0.03263266
GPBP1L1,1.25918805,1.613998099
TSPAN1,0.218686783,0.120578435
PRDX1,3.746795949,1.567391205
RPS8,1.559421093,1.392423126
POMGNT1,1.660234411,1.284628142
LRRC41,2.79896717,1.289855903
FAAH,0.005920308,0.001139078
UQCRH,1.674000843,1.584805284
MKNK1,2.274385293,0.955036338
ATPAF1,0.545276019,0.426260212
