gene,fc_1,fc_2
NOP14,1.990534647,2.273055798
ADD1,1.403751993,0.794083454
HTT,2.165708291,0.920236023
TMEM128,1.911172451,1.318802741
LRPAP1,1.387824991,0.730324042
LYAR,2.458562498,4.878919882
STX18,1.256563139,1.756931965
LOC93622,0.16327481,0.728901925
WFS1,9.546224602,2.463556843
MRFAP1,0.590964054,0.67636638
MRFAP1L1,1.098350808,0.749864448
BLOC1S4,2.546936497,1.318771101
KIAA0232,1.277242626,0.885224175
S100P,0.01350243,6.799021297
GRPEL1,2.037302798,2.005597674
SH3TC1,27.72615963,3.844036619
TBC1D14,1.646440033,0.706494137
LOC100129931,1.441604921,0.667623452
TADA2B,1.205187739,0.513740744
AFAP1,27.19946432,5.785110935
ACOX3,2.698569714,1.064456577
ZNF518B,1.352258282,0.951155238
WDR1,3.373475117,3.052646609
RAB28,1.150329032,1.898537349
BOD1L1,3.028589853,1.834359904
FAM200B,0.539172839,0.530212037
TAPT1,0.36418577,0.296829798
LAP3,1.951840252,1.023986866
MED28,1.119238657,0.67742202
DCAF16,1.636916741,0.982227001
FBXL5,1.239536104,0.746020664
PACRGL,1.380053938,1.780356072
GPR125,1.802367089,1.6269592
PI4K2B,0.402366755,0.832662058
ANAPC4,1.525739883,0.976181105
DHX15,0.804716569,1.143682586
C4orf52,2.30240017,2.050399582
SEL1L3,4.216114904,0.953302843
RBPJ,1.404170642,1.926588521
ARAP2,0.633978527,5.408965955
RELL1,2.114283424,1.72934038
PGM2,2.221897611,1.003635909
TBC1D1,3.067399391,1.645070784
KLF3,0.452547255,1.671991657
FAM114A1,4.75988258,1.599908697
RFC1,1.82879594,1.924262928
KLHL5,38.08641776,18.29853104
UGDH,0.329658818,1.365802769
UGDH-AS1,0.947752448,0.669854183
SMIM14,0.37363046,0.424254154
UBE2K,0.661457397,1.009847627
RBM47,0.10525476,0.160307564
PDS5A,1.457399279,1.625479975
TMEM33,1.587920794,1.460514377
GUF1,1.057884324,0.954503879
SLC30A9,1.187498425,0.959132452
COX7B2,5409607.355,14.78104546
LIMCH1,1.600562916,0.426210158
GNPDA2,1.015711209,1.293092386
COMMD8,0.906812564,1.333133375
NFXL1,0.990164543,1.40585275
RPL9,1.697695379,1.546143687
SLAIN2,1.228418248,3.167438516
FRYL,0.738316567,1.097142428
OCIAD2,6.716888656,2.438505498
SGCB,0.624254161,0.546038097
OCIAD1,1.072373973,0.779164532
DCUN1D4,0.869052837,0.83836533
DANCR,0.903257006,0.397557789
USP46,1.921358765,0.859412076
CHIC2,2.829885065,2.844817735
FIP1L1,1.398308561,1.623821372
SRD5A3,0.367560312,0.413451571
TMEM165,1.903238765,1.570439351
AASDH,2.190847942,1.605686823
CLOCK,1.257659737,1.115317164
PPAT,0.728389309,0.766361676
EXOC1,1.907664046,1.881742633
PAICS,1.010818231,0.674392582
NOA1,1.000414065,0.803702624
REST,0.884518461,0.761895417
SRP72,1.685916925,2.102552219
CENPC1,0.389681213,0.590237072
POLR2B,1.349829351,1.030049694
LOC550112,1.118132098,0.656795891
YTHDC1,1.02787638,0.643360506
UTP3,1.873374329,1.028728377
RUFY3,2.729591762,3.013046614
DCK,0.72944184,0.95965813
UBA6,1.125817064,1.510190498
GRSF1,0.974724171,0.777905108
MOB1B,0.735313082,0.483857244
ANKRD17,0.930303488,0.753707297
RCHY1,0.529438615,0.590056076
NAAA,0.167197972,0.125278623
SDAD1,1.587250104,2.069333853
NUP54,1.187041238,0.83754225
USO1,1.536104388,2.100774915
SOWAHB,0.031223867,0.006815945
G3BP2,1.315018847,1.501281772
SHROOM3,0.99910548,0.516258132
STBD1,1.062477612,0.802182866
Sep-11,1.091850828,0.537117824
SCARB2,1.128765208,1.004812931
CCNG2,0.754636594,0.152363462
MRPL1,1.258242874,1.492833879
CNOT6L,0.567790937,1.417428277
CCNI,2.550740976,0.877087152
BMP2K,1.744565328,2.788489891
PAQR3,3.767514173,2.686942681
HNRNPD,1.048138779,1.342091064
ENOPH1,0.880544076,0.927122139
HNRPDL,1.242884329,1.228265044
COPS4,1.100242185,0.943868392
THAP9-AS1,1.481596024,2.025450115
MRPS18C,1.400893873,1.331029808
FAM175A,6.038866374,3.410062005
CDS1,0.219766873,0.327776495
WDFY3,0.756605602,0.458891048
SEC31A,4.304748524,1.860613639
KLHL8,0.833096893,0.836654487
AFF1,1.153471896,0.409149604
NUDT9,0.939840239,0.781308431
PKD2,1.831071571,1.683321617
PPM1K,1.081661028,0.720862602
PYURF,1.575228786,1.238981458
PTPN13,1.292831154,0.628036303
TIGD2,3.446610932,1.2277328
HERC3,1.441708984,0.679494579
FAM13A,1.258287451,0.600520396
SMARCAD1,1.281613324,1.058886472
TSPAN5,23.35664201,8.607145674
PDLIM5,2.883159553,2.382480094
RAP1GDS1,1.383560463,1.79033802
METAP1,2.469822484,2.881748072
EIF4E,0.989699528,0.902834999
ADH5,1.423621102,1.458698329
DNAJB14,0.748351814,0.851480611
LAMTOR3,1.3082127,0.99390991
H2AFZ,0.370684369,0.860229318
FLJ20021,0.338337444,0.21152741
SLC39A8,0.393393759,0.629016817
NFKB1,2.970136444,0.871664738
MANBA,2.24029466,1.235094785
PPP3CA,0.149718775,0.111038466
TET2,0.427539627,0.283840415
INTS12,2.440955367,1.558648183
GSTCD,0.8159746,0.8689269
PPA2,0.830522368,0.478486237
UBE2D3,1.278232385,0.993935076
PAPSS1,0.645451032,1.440910447
TBCK,1.574896451,0.728118294
AIMP1,1.026047821,1.9314541
HADH,0.302763766,0.275574382
SGMS2,1.305279318,2.759472882
CASP6,0.5850342,0.586077978
PLA2G12A,1.078324591,0.704970775
SEC24B,1.043927694,1.265315149
OSTC,1.155439264,1.99845169
RPL34,1.440759947,1.041084405
AP1AR,1.139934739,2.288382775
LARP7,0.818367611,0.835459046
METTL14,1.496667737,1.438565532
SNHG8,0.849752798,1.37267149
SEC24D,3.199790958,3.873686501
C4orf3,0.584527137,0.415628602
MAD2L1,0.56841237,1.432129818
EXOSC9,1.374078438,1.812541561
BBS7,1.516183085,1.032017314
ANXA5,4.760541946,5.857030578
NUDT6,6.451418487,7.251446538
KIAA1109,1.144642966,1.182360976
HSPA4L,0.871303665,1.031240133
PGRMC2,1.604676118,1.140897554
LARP1B,0.926648306,2.167389239
C4orf33,0.226009734,0.242805443
ANKRD50,0.995376523,1.339406105
ELF2,0.581373003,0.758925116
SETD7,0.772199614,0.437417731
NDUFC1,0.42200987,0.564638437
NAA15,2.202012131,2.537912482
MGST2,0.15089527,0.070659498
ELMOD2,0.535137461,0.533847388
SLC7A11,1.649876394,7.08827018
TBC1D9,0.688560654,0.512758007
SCOC,1.271631329,0.98113112
USP38,0.720248863,1.105352826
SMARCA5,0.619896725,1.162169659
INPP4B,0.601072546,2.209075091
SMAD1,1.233759289,0.929379847
OTUD4,1.940558806,2.309805889
LSM6,1.691303336,2.552208107
ANAPC10,1.484537783,1.756612657
ABCE1,0.931953889,1.393187848
SLC10A7,0.244874206,0.466390874
TMEM184C,1.347693665,0.478973201
PRMT10,1.018215034,0.351855709
ARHGAP10,6.146749973,1.217626448
LRBA,0.813150194,0.223088868
PET112,1.63153295,2.056928923
FBXW7,2.304638737,2.865434809
ARFIP1,1.185142684,1.052645053
PLRG1,1.893255231,2.906734344
MAP9,0.668955488,0.982660057
GUCY1A3,0.068965066,0.002459984
RPS3A,1.060680529,1.580284546
FAM198B,0.326631391,0.003634886
TMEM144,0.172534567,0.013331243
ETFDH,0.421327869,0.375535449
PPID,1.518815225,1.129918044
RAPGEF2,2.74381015,2.007895778
TMA16,1.027811487,1.74158235
TMEM192,1.001429324,1.233772075
KLHL2,1.309738005,2.108779321
CPE,0.216117012,0.140185221
MSMO1,0.232416479,0.86152312
CBR4,1.053422032,0.44999096
SH3RF1,2.020250247,0.276478788
PALLD,67.62644111,13.90915975
C4orf27,3.148615306,1.118877758
NEK1,2.904495149,0.498540436
HMGB2,0.232835856,2.342705051
GALNT7,0.247172764,3.079535675
FBXO8,1.874317802,1.226759928
CEP44,1.927373829,1.347215696
CLCN3,1.816600952,0.465475877
AGA,3.3011252,0.576243161
HPGD,0.00481706,2.28989502
SPCS3,0.811674946,2.963982315
ING2,1.120872174,1.457002046
CDKN2AIP,1.082151907,1.674728102
DCTD,2.513286335,1.447682853
RWDD4,1.13590244,1.490095561
IRF2,6.092959196,3.463150772
CCDC111,1.10198962,1.086602153
MLF1IP,0.211016346,0.558620861
CASP3,1.214494135,1.174963009
TRAPPC11,1.722947529,1.60345442
SLC25A4,0.927654018,0.581249118
ACSL1,11.57579926,1.779908874
KIAA1430,1.410670696,1.006736814
SNX25,2.586305179,0.976634304
UFSP2,1.346312345,1.308639948
FRG1,1.11489276,1.758984058
CCDC127,1.954322009,0.882809451
SDHA,1.230147785,1.198030639
PP7080,1.268395224,0.811869387
EXOC3,4.813849207,1.978406148
SLC12A7,0.790646553,0.310668621
BRD9,4.676216945,2.912254253
CLPTM1L,4.735016323,2.838644058
LPCAT1,2.31752903,0.281903276
PDCD6,2.146463679,1.447215889
MRPL36,4.015634003,2.497346135
NDUFS6,1.488492663,0.986821194
MED10,3.083568335,3.769580326
KIAA0947,3.088223359,3.046507543
FAT1,1.653294969,1.456633262
SRD5A1,1.142313176,1.019770145
NSUN2,2.937433881,2.74099712
FASTKD3,1.871208253,1.261147443
MTRR,1.92037627,2.384608038
FAM173B,1.165375907,0.862810707
CCT5,1.99180021,2.251209457
DAP,3.122918817,1.3592328
Mar-06,0.993493192,0.573366856
FAM105B,2.032010483,2.348936487
ZNF622,2.247451091,2.052562018
TRIO,18.48429287,9.218925936
MYO10,9.987478041,4.210262808
GUSBP1,0.969000553,0.128269329
C5orf22,1.107379108,1.346809065
DROSHA,1.898521999,1.25364959
MTMR12,1.324210612,0.848170963
GOLPH3,1.735460594,1.318318854
ZFR,2.351771028,1.537782699
SUB1,1.799347507,1.332390923
AMACR,0.290403631,0.076567291
BRIX1,2.244074782,3.12856912
DNAJC21,1.760007342,2.666880385
LMBRD2,0.643428526,0.549722736
SKP2,0.35840841,0.61011654
NADKD1,0.983333626,0.281615825
RAI14,25.52481651,13.02623231
NIPBL,1.24523479,1.568334236
WDR70,2.70970889,1.941703228
NUP155,1.623944568,2.450077306
TARS,3.463664253,3.818705921
RICTOR,2.335306924,3.633915303
LOC100506548,3.326201424,7.206517228
PRKAA1,0.51972895,0.698950683
OXCT1,0.468154846,0.452945853
C5orf51,2.839056373,2.667022761
ZNF131,1.545601728,1.541105611
C5orf28,1.404085801,3.562610631
HMGCS1,0.076939416,0.565311471
RPL37,2.580323883,1.448632138
MRPS30,1.439819299,1.555410259
PAIP1,1.955695307,1.326321505
EMB,0.282331861,0.280272483
PELO,1.468022661,1.498036273
MOCS2,1.96134356,1.05134719
NDUFS4,1.638427362,1.866595485
ARL15,2.783314012,0.560090651
SNX18,5.926998928,3.136071513
DHX29,1.757327501,1.130522794
GPX8,1.697006025,9.077737277
SLC38A9,3.092961789,0.744674014
SKIV2L2,2.663879677,2.307083322
PPAP2A,0.846376189,0.166516302
MIER3,1.163607531,1.350533131
IL6ST,13.41720877,5.099199534
PLK2,18.28175901,1.688507117
GPBP1,1.83497147,1.540033764
ERCC8,1.38877305,2.079724794
ELOVL7,0.782039479,1.148561472
NDUFAF2,2.690474497,5.344591714
SMIM15,1.897223194,1.593366209
DIMT1,1.227010204,1.117264534
KIF2A,1.884900012,2.177614562
IPO11,2.465247669,1.595773089
SREK1IP1,2.003155248,2.580538773
CWC27,2.961064708,5.58938405
PPWD1,1.409346423,1.381146795
TRIM23,1.52689849,1.08257246
TRAPPC13,1.348015317,1.105692329
SGTB,11.18333464,3.812548508
SREK1,2.32406567,0.851030439
MAST4,0.406072069,0.040733085
CCNB1,0.49396276,1.156223105
CENPH,0.774222756,3.948418132
MRPS36,1.336632215,1.920302802
SLC30A5,1.536966348,1.61969205
CCDC125,0.390960338,0.355686985
CDK7,2.827801073,2.923783628
PIK3R1,1.550576603,0.231286773
MARVELD2,0.412393243,0.158880826
ERBB2IP,2.207593931,1.151271332
OCLN,3.094550966,0.311546345
LOC100272216,1.29303629,0.080722407
GUSBP3,0.871667849,0.085038259
GTF2H2C,1.647460434,0.373387231
GTF2H2D,2.431307425,0.247239361
TAF9,2.362782208,2.515702126
RAD17,2.2860508,1.839150035
SERF1A,2.305748105,0.584706711
SMN2,450.9974667,1.400878383
SMA4,0.821209577,0.084141598
GTF2H2B,1.704571025,0.297236915
SMA5,0.705766795,0.054977935
GUSBP9,0.53103574,0.067096768
LOC441081,1.280776357,0.077049971
NAIP,0.876676554,0.039338544
LOC647859,2.396604178,0.257169207
GTF2H2,1.953054617,0.238811933
MCCC2,0.091144404,0.499886319
BDP1,0.553782529,0.252214766
PTCD2,1.735977126,0.851965125
MAP1B,2.699884764,1.007133295
MRPS27,1.486485491,1.121979725
FCHO2,0.550355426,1.231314306
ANKRA2,0.488155989,1.503760084
UTP15,1.316135574,2.51978372
TNPO1,2.566608131,4.374581827
BTF3,2.036551656,2.038099862
ENC1,0.573505088,0.459084921
FAM169A,1.314223733,0.957792508
HMGCR,0.214064494,0.600299532
F2RL1,1.979636445,2.137774622
HEXB,3.671244798,4.233708342
NSA2,2.805923176,2.236297235
GFM2,2.303245441,1.520898764
COL4A3BP,0.962983348,0.592383083
POLK,2.986450426,2.250154625
AGGF1,2.059216385,1.835256321
WDR41,1.652233152,1.913385378
TBCA,1.17445315,1.149673453
AP3B1,2.054704276,2.919508567
SCAMP1,1.358302371,1.0166891
JMY,1.633391725,1.248348968
HOMER1,1.6894513,0.978092921
PAPD4,2.065884525,2.002493745
SERINC5,0.60952973,0.122419097
DHFR,0.167457133,0.321246289
MSH3,5.47990869,1.602642427
ZFYVE16,1.646290602,0.968048424
ZCCHC9,8.424389632,6.988461958
XRCC4,2.823080808,3.758621043
TMEM167A,2.268338771,1.764983928
COX7C,0.917688081,0.850149923
RPS23,2.231880686,2.514463682
CCNH,1.562199286,0.777499767
RASA1,1.824862461,1.311646531
TMEM161B,1.648303224,1.950548173
CETN3,1.391062056,1.152289024
LYSMD3,1.125414126,1.556012773
ARRDC3,0.829619363,0.140480627
FAM172A,1.043761375,0.754172807
GLRX,16.23055164,12.8562134
TTC37,4.756394435,3.028553751
ELL2,0.849115064,11.06594431
RIOK2,1.569713434,1.552827643
LNPEP,1.726592925,1.38272925
FAM174A,1.029759213,0.646366487
CHD1,1.284523798,2.077215308
C5orf30,1.706012421,0.384878224
NUDT12,6.044963139,0.964724557
PPIP5K2,0.97937126,1.38015612
EFNA5,2.131045232,0.091616864
FBXL17,0.982153103,0.050358028
FER,2.342025844,2.644189872
PJA2,1.428439821,1.144597478
SLC25A46,1.546992401,2.374548031
MAN2A1,2.269001807,3.748469797
CAST,2.708418084,4.526645934
ERAP1,7.269449606,5.156007861
WDR36,2.340496981,3.668613612
EPB41L4A-AS1,2.008515922,2.980815398
STARD4,0.356901997,2.273241055
SRP19,3.335858383,2.033311018
REEP5,1.275775623,0.857490671
YTHDC2,0.758587563,0.762592042
PGGT1B,0.550782905,0.644018405
CCDC112,1.055021202,1.054310561
FEM1C,0.719197672,0.836133842
DCP2,0.591436132,0.567015759
ATG12,1.349523325,2.515387134
COMMD10,1.354618614,0.945179318
AP3S1,1.271417746,3.485928835
TMED7,2.332811775,2.078046947
MIR1244-1,0.967466714,14218086582
TNFAIP8,4.835336368,4.728343021
DMXL1,0.816339931,0.261099462
SRFBP1,4.331765976,3.547511287
SNX2,2.446045038,1.717445864
HSD17B4,0.637453746,0.630834251
SNX24,4.769795961,8.207603326
PPIC,1.419162761,7.956807607
CEP120,3.259424067,4.742552131
PHAX,1.647221535,0.808095198
CSNK1G3,1.982927007,2.344178362
PRRC1,1.115141012,1.327019384
ISOC1,0.646937121,1.221530734
SLC12A2,0.419331811,0.368298644
LYRM7,1.535412865,1.981778773
CDC42SE2,1.11732627,0.983854916
RAPGEF6,1.119370734,0.972550354
HINT1,1.890232999,1.826149099
FNIP1,2.782692909,1.888727721
RAD50,3.238502684,4.229922305
UQCRQ,1.374715315,1.053282495
P4HA2,40.99516774,20.98823073
Sep-08,1.287167819,1.328448267
ZCCHC10,1.166669154,1.0101191
AFF4,2.629110223,1.152450918
C5orf15,2.270078267,1.003600217
HSPA4,3.524630302,2.018170028
UBE2B,1.457591044,1.854115034
CDKN2AIPNL,2.219092456,3.275611488
PPP2CA,1.362342707,1.418350982
SKP1,2.354189782,1.317424085
VDAC1,3.624787564,1.885654638
CAMLG,2.481030921,2.087878433
SEC24A,2.09680857,1.759444795
DDX46,2.16361773,1.943531583
SAR1B,1.612105929,1.014105348
TXNDC15,2.182278124,0.835958708
PCBD2,1.200470573,0.289887334
PITX1,12.66636016,1.119566373
C5orf24,1.232658084,0.835729879
H2AFY,0.85810587,0.806436705
HNRNPA0,1.039867302,1.046185718
SMAD5,1.361137639,1.381995846
BRD8,1.100604935,1.019901083
CDC23,1.352044109,1.847559388
FAM13B,0.872652877,0.465022822
FAM53C,1.345041761,0.883487072
KDM3B,1.929870674,1.170465721
ETF1,3.178397282,4.109736402
HSPA9,1.8148813,4.833568444
SIL1,3.237317679,1.31873225
CTNNA1,1.428048574,1.744914147
PAIP2,1.624441902,1.581354164
PURA,1.256976285,0.424822525
IGIP,1.195932005,0.280670237
UBE2D2,1.651329964,1.214388106
CYSTM1,1.536535981,1.843224602
PFDN1,2.645501639,1.661972021
HBEGF,2.012214024,1.435177813
APBB3,1.135927615,0.301831114
SLC35A4,1.780416305,1.4503988
SRA1,2.903468418,2.395844172
NDUFA2,1.933828114,1.294526089
WDR55,3.030828639,1.868959555
IK,2.97450131,2.238098121
ANKHD1,1.066200901,1.195579205
VTRNA1-1,1.482739946,2.946001929
VTRNA1-2,41.63403346,2.036929049
VTRNA1-3,16.53752507,10.96017477
ZMAT2,2.187698086,1.702824782
HARS,2.56567693,1.952218524
HARS2,1.649550576,1.232248622
SNHG4,6.670422315,2.497956056
MATR3,1.622360855,1.173472857
TAF7,1.719705434,0.952826189
HDAC3,1.890148811,2.045221421
DIAPH1,1.025392992,1.392556053
KIAA0141,1.122405837,0.890024094
PCDH1,2.959293573,5.464956563
GNPDA1,5.402163441,3.631165934
NDFIP1,1.538785753,0.931635799
RNF14,0.886402855,1.210760084
ARHGAP26,1.075083315,3.404371048
YIPF5,2.51240372,2.142225386
RBM27,1.551466678,2.599036465
LARS,9.579822729,5.260617881
TCERG1,3.481169613,3.139759213
FBXO38,2.388393291,1.45085131
PCYOX1L,1.298270248,0.62096663
GRPEL2,1.506441997,2.709551515
ARHGEF37,0.028659811,0.0893517
HMGXB3,3.456452192,2.057455923
CSNK1A1,1.47247108,1.767258192
RBM22,1.963838875,2.764805777
NDST1,3.298975513,1.534746171
ZNF300,3.153189716,1.621574088
DCTN4,1.14505993,0.621779415
ANXA6,4.886865683,1.297792265
GM2A,9.53446513,0.768409678
TNIP1,12.09177598,10.43549041
RPS14,2.158873984,1.659901627
ATOX1,5.263994537,1.33780769
FAM114A2,1.661478797,1.562820258
GALNT10,3.104874388,0.843336347
MFAP3,1.501338835,1.15516016
G3BP1,2.580645236,2.01356388
LARP1,2.00638194,1.324612453
CNOT8,1.073669728,1.207973378
MED7,1.35830023,0.86146476
THG1L,9.223653654,2.846382446
CLINT1,4.562048109,4.701372799
UBLCP1,4.60110862,3.182327874
TTC1,3.921146114,2.315258699
PWWP2A,2.041393248,1.881802211
PTTG1,0.860389544,2.048706168
SLU7,2.506974783,2.052165446
NUDCD2,2.636037906,2.125032195
RNF145,4.099940513,1.017462316
MAT2B,1.827027914,2.598805811
CCNG1,0.725427408,0.467397582
RARS,3.697026093,3.057290518
SPDL1,0.644939753,1.140145057
PANK3,0.698720488,1.02150557
UBTD2,3.89497402,1.770636423
DUSP1,6.014511836,5.491480006
SH3PXD2B,24.93541186,4.9210011
FBXW11,2.519310449,2.066001936
RPL26L1,4.361145411,2.349672664
ERGIC1,2.031412117,1.042079804
BNIP1,2.371626784,2.380048149
ATP6V0E1,3.583103209,1.622651821
SNORA74B,1.256297282,1.271953598
STC2,18.20777544,20.77401239
BOD1,1.898759013,2.508482259
CPEB4,4.127661397,0.9417798
SFXN1,2.561629876,2.109984698
THOC3,1.192106258,1.435115294
NPM1,2.944450271,2.515888298
NOP16,2.415820798,4.017650396
HIGD2A,1.036965533,1.207654444
KIAA1191,2.017438957,1.452716799
FAF2,2.188572312,1.246828697
TSPAN17,1.604266878,1.644021877
CLTB,1.487385675,1.806360711
UIMC1,2.093571543,2.347464565
RAB24,1.155509841,1.213744797
LMAN2,1.934412314,1.920223425
PRELID1,2.482412714,3.152157869
MXD3,1.336700378,2.241263462
NSD1,0.999659652,0.720537028
PDLIM7,5.547460451,6.191089725
DDX41,2.369305779,1.394134037
DBN1,2.911447254,0.764006733
FAM193B,1.911898274,0.781923892
B4GALT7,4.709428434,2.806001493
RMND5B,0.868982175,0.707494499
LOC728554,1.323095115,1.412936433
TMED9,6.537439341,4.234060563
NHP2,2.078523439,2.150653219
CLK4,1.994046015,1.055330442
ZNF354A,2.142957707,1.487528138
HNRNPAB,1.354296932,2.703447354
RUFY1,1.646014279,1.865988144
HNRNPH1,1.528589684,1.560006342
RNF130,0.251257027,0.175314255
MAPK9,1.656970819,1.141878474
CNOT6,1.027758112,0.800182269
TBC1D9B,1.572249325,0.594041118
HEIH,2.624554381,1.826493748
LINC00847,8.922853458,0.648593782
ZFP62,0.518228747,0.844834971
TRIM41,1.395386862,1.240512368
MGAT1,2.884011153,3.754747928
MGAT4B,7.465888741,3.570971752
C5orf45,14.10975552,6.12479531
SQSTM1,22.53725964,10.27733245
DUSP22,1.454366777,0.655454715
CANX,2.125745204,4.637733409
EXOC2,1.321423208,1.91303114
GMDS,1.870148991,1.036121047
WRNIP1,0.788737833,0.78040061
NQO2,0.495422982,0.793316758
RIPK1,0.512900594,0.513142152
TUBB2A,2.891808355,4.416181949
BPHL,0.541115436,0.282508919
PSMG4,0.953348073,1.212956361
GNB2L1,2.526516611,2.051626197
SNORD96A,1.064708771,2.224605955
SERPINB6,1.344315504,0.459664693
PRPF4B,0.815406833,0.701157291
ECI2,0.335028368,0.328969999
RPP40,1.154091311,0.728441937
LYRM4,1.00862858,1.425460127
FARS2,0.583781509,0.869293307
CDYL,1.259674718,2.058142592
RIOK1,0.777155844,1.974626751
SSR1,1.761682269,1.47871615
SNRNP48,0.716763956,0.401766324
SLC35B3,0.755518899,0.798421319
PAK1IP1,2.227258274,2.584636453
TMEM14B,1.886218188,2.155709996
SMIM13,1.1596533,2.240618869
TMEM14C,1.996161544,2.418298756
HIVEP1,1.358520931,0.852764063
TBC1D7,2.538148415,1.030507597
NOL7,2.419797566,2.014595106
SIRT5,1.331432808,0.658357005
RANBP9,0.883676355,0.691373418
TXNDC5,1.941636142,1.912986087
BLOC1S5,0.935043503,1.068783282
EEF1E1,2.081764399,2.024338119
SCARNA27,0.364551602,0.209391579
JARID2,3.978041045,1.262993127
FAM8A1,0.240934693,0.210470052
ATXN1,1.449700456,1.699973989
NUP153,0.856861403,1.115154912
TPMT,0.746464954,0.576956806
KIF13A,3.068933297,1.009314527
DEK,0.629006829,1.359510231
RNF144B,0.166636568,0.308471711
CDKAL1,1.080202462,1.156737881
MRS2,0.601573499,0.645734664
TDP2,0.614604214,0.734011895
SOX4,0.290674326,0.152164274
DSP,0.155372152,0.042182543
GMNN,0.348132238,0.680858793
ACOT13,0.930514387,0.791496111
C6orf62,2.814903906,1.481326591
HIST1H3A,0.136148861,0.948975183
HIST1H4A,0.101792894,0.688778243
HIST1H3B,0.076540026,0.474036038
HIST1H4B,0.265560813,0.718471096
HIST1H2AB,0.195407077,0.825976951
LRRC16A,0.674508639,1.126418535
HIST1H4C,0.193430798,0.897922285
HIST1H2BC,0.150101005,0.487722573
HIST1H1C,0.515598551,1.128178712
HIST1H2AC,0.168758596,0.455003199
HIST1H2BE,0.17302862,11.88944115
HIST1H1E,0.309106786,0.800954484
HIST1H2BF,0.237211768,0.500888664
HIST1H2BD,0.171617779,0.580260905
HIST1H3D,0.094898628,0.355135098
HIST1H2AD,0.255669268,0.934602594
HIST1H2BG,0.323287496,1.917673038
HIST1H4E,0.402141437,1.07948954
HIST1H3E,0.259834818,0.350148279
HIST1H2AE,0.263196712,3.059294437
HIST1H4H,0.186168142,0.689036629
ABT1,0.976425196,1.23439351
HMGN4,1.479739973,1.626306275
GUSBP2,0.703947585,0.098171971
HIST1H2BJ,0.101699313,0.412267955
HIST1H2AG,0.092565582,0.620903489
HIST1H2AH,0.080111299,0.334500134
HIST1H2BK,0.161630441,0.225790585
ZNF322,0.589324867,0.401957222
HIST1H2BL,0.108905299,0.509676401
HIST1H2AI,0.100284011,0.577965733
HIST1H3H,0.070326215,0.332134944
HIST1H2AJ,0.117255705,0.831538012
HIST1H2BM,0.060962366,0.073374801
HIST1H4J,0.612122472,2.262343462
HIST1H2AK,0.281430074,0.748801462
HIST1H2BN,0.239161638,0.944194223
HIST1H2AL,0.097209596,0.505182213
HIST1H4K,0.61847576,2.274273611
HIST1H1B,0.115462911,0.718180243
HIST1H3I,0.615867043,6.029626574
HIST1H2BO,0.088378925,0.30433943
HIST1H2AM,0.168512548,0.67328343
ZSCAN16,0.276001387,0.212770086
ZSCAN9,0.626776072,0.663507359
ZSCAN31,0.550727655,0.151015369
TRIM27,0.939337269,0.957422987
ZNRD1,0.862822591,1.728991419
PPP1R11,2.150577688,2.487437333
HLA-A,172.629444,4.803336302
TRIM26,0.879590079,0.545932653
HLA-E,4.784818186,5.994929082
RPP21,1.07468396,1.11540274
ABCF1,4.756790636,2.330618617
MRPS18B,1.900267153,3.112961517
PPP1R10,1.330749074,0.783457729
DHX16,1.827116007,1.86063305
FLOT1,1.526968375,0.875744615
TUBB,2.509527198,1.335671394
VARS2,1.406295599,0.759698071
HLA-B,120.5574402,8.185296886
MICA,6.057048369,1.629151367
HLA-C,23.95532199,5.459861576
NFKBIL1,3.263863125,2.499088599
C6orf47,0.906785539,1.29050982
PRRC2A,2.49843447,1.103776428
DDX39B,0.707108105,1.104846117
DDAH2,0.162878217,0.104444068
CSNK2B,1.118614347,1.313448839
ABHD16A,0.447261085,0.5051806
DDR1,0.522906146,0.445223322
LSM2,1.111023686,1.242420501
BAG6,2.02261835,1.474746997
VARS,1.409614147,1.363084449
CLIC1,1.11892253,2.32787379
HSPA1A,2.04209538,1.39776678
HSPA1B,0.874342145,0.342111374
NEU1,1.203898662,1.943994127
EHMT2,1.372011499,0.794023295
STK19,0.848285465,1.723018741
DOM3Z,1.871309631,2.46424118
NELFE,3.346580335,5.428284249
SKIV2L,4.534966467,2.813327343
C6orf48,2.265771755,2.95494167
ATF6B,3.00646455,2.576597017
PBX2,1.511127379,1.189743157
AGPAT1,1.696589904,0.884096789
LOC100294145,0.303404539,0.516878928
TAP1,4.838244106,2.864287373
RXRB,1.499892517,1.591096352
HSD17B8,0.710799736,0.6433188
RING1,1.438764855,1.473445029
VPS52,1.165691529,0.831822879
SLC39A7,1.254934662,1.713012367
BRD2,1.289336611,0.856439943
WDR46,3.04439455,3.451710949
PFDN6,3.790765655,4.440925664
RGL2,1.748110112,0.615131051
ZBTB22,0.959521133,0.82900883
TAPBP,3.047986622,1.389093909
PHF1,1.328416771,2.534938307
DAXX,1.348758674,2.013075406
BAK1,1.379645108,1.257475942
CUTA,0.95556379,0.873414137
MNF1,1.658414712,1.359625333
LEMD2,2.711101331,3.339173966
ITPR3,4.75405749,8.893143055
C6orf1,0.739096298,1.215840236
HMGA1,82.02492651,24.34585576
RPS18,1.947368119,1.798738238
SNRPC,2.800642236,2.811665277
TAF11,1.372023891,1.036449304
C6orf106,1.569885724,2.147916797
DEF6,0.634785675,0.468783025
