gene,fc_1
RP11-42I10.1,0.078335706
RP11-386M24.6,7.070307679
RP11-275F13.1,0.159680266
LA16c-312E8.2,7.23E-08
RP11-708J19.1,0.217969022
RP11-49I11.1,0.358719527
RP11-350O14.18,0.245804667
RP11-872J21.3,0.048809182
RP11-588K22.2,1.48862844
RP11-452L6.7,0.040936728
SSTR5-AS1,2256.757927
RP11-264B17.3,0.236673207
RP4-616B8.4,0.011459947
RP11-18F14.2,0.272204824
RP11-382A20.7,0.142268838
RP11-566K11.7,0.135883966
RP11-46C24.7,0.075281933
RP11-553L6.5,4.285289645
RP11-412D9.4,0.106709352
RP11-156P1.3,0.480921087
RP11-461A8.4,1.917654858
RP11-876N24.5,0.345967387
SRRM2-AS1,0.74806399
TAPT1-AS1,3.539938441
RP11-473M20.16,0.08176793
RP11-96D1.11,1.223559095
CTD-3195I5.1,0.795643709
RP11-44F14.8,0.241526528
RP11-473M20.14,0.234620169
RP11-44F14.11,0.197039851
RP11-615I2.7,0.41181804
RP11-95P2.1,0.07227704
RP11-96D1.10,0.189494342
RP11-63A1.1,0.083489362
RP11-589P10.7,0.365329085
RP11-74E22.3,1.116282473
CTD-3195I5.5,0.634518551
RP11-1260E13.1,4.84E-08
RP11-95P2.3,0.072286996
RP11-334C17.5,0.453002168
RP11-760H22.2,3.46309532
RP5-1050D4.5,0.1799382
RP11-473I1.9,0.143980551
LA16c-306E5.3,0.180858526
RP11-473I1.10,0.280825012
RP13-1032I1.7,0.120604707
RP11-170L3.8,0.223285095
LA16c-325D7.2,0.13767865
LA16c-306E5.2,0.65534791
RP11-510M2.10,0.53874232
RP11-166P13.3,0.123679465
ZNF205-AS1,0.097318876
RP11-6N17.4,0.269654441
RP11-671C19.1,3.65E-09
RP1-178F10.3,0.402040407
RP11-231E4.4,0.183897974
RP11-16C1.1,0.064164868
RP11-227G15.3,0.464553298
RP11-21J18.1,0.297686298
RP11-173M1.8,1.903553789
RP11-676J15.1,0.027356022
RP11-671C19.2,1.89E-08
RP11-94B19.7,2.58E-08
CTB-96E2.3,0.634917437
SENP3-EIF4A1,0.181162365
RP11-159D12.9,1.130090102
CTD-2349P21.9,1.978203231
CTD-2350C19.2,0.580131283
RP11-329L6.1,0.118007536
RP11-650P15.1,0.04880919
RNU4ATAC,2.499660615
LINC00526,0.020049895
RP11-186B7.4,0.184493535
RP11-45M22.6,1.888078642
RP11-105N13.4,0.597628386
RP11-580I16.2,0.437379669
MAFG-AS1,0.784046771
RP11-6N17.9,0.425206097
RP11-143J12.2,0.31358463
RP13-650J16.1,0.056423196
RP11-649A18.12,0.166183509
CTB-131K11.1,0.19728741
RP11-160O5.1,0.288063821
RP11-214C8.5,0.602222666
RP11-53I6.2,0.282540515
CTB-58E17.3,0.259169619
RP5-890E16.2,0.148803128
RP11-55L4.2,0.173594819
RP11-713C5.1,0.218716773
SNORD3A,0.341055603
RP11-17J14.2,0.23265677
RP11-973H7.2,0.412113886
MAP3K14-AS1,0.485972082
RP11-400F19.8,0.237944609
CTC-459F4.3,1.330442208
CIRBP-AS1,0.139344107
CTD-2587H24.10,0.988276619
AC006116.21,0.15667135
CTC-503J8.6,0.264857265
RP11-178C3.2,0.005240849
RP11-15A1.2,0.580517216
LINC00663,0.380849705
RP11-513I15.6,0.204149523
RP11-15A1.3,0.667267922
ZNF790-AS1,0.440498687
RP11-618P17.3,3.018767711
CTC-479C5.16,0.285004972
CTB-32O4.2,0.081543303
AC005498.3,0.179295591
CTB-25B13.12,0.316477828
AD000090.2,0.30266813
AC009005.2,0.006835496
CTC-512J12.4,1.1825125
CTB-50L17.16,0.065801989
RP11-153A23.6,0.50563212
CTD-2020K17.4,0.048809184
ZNF582-AS1,0.856177413
AC084219.4,0.457153205
RP11-799D4.4,0.168810948
RP11-400F19.6,0.162572753
CTB-55O6.10,0.112362746
RP11-242D8.1,0.901684797
RP11-400F19.18,6.063145409
ILF3-AS1,0.061880343
AC069278.4,9.150386602
CTD-2086O20.3,0.454704119
CTD-2008P7.9,0.954729163
RP11-383D22.2,0.231843474
CTD-2630F21.1,0.323817817
RP11-1094M14.11,0.198115526
CTD-2538C1.2,0.4915778
CTD-2540B15.9,0.106866365
A1BG-AS1,0.229306826
CTB-50E14.6,0.230206865
RAB11B-AS1,0.468020864
AC016629.8,0.278918111
CTD-2561J22.5,2.31815075
AC018766.5,0.306494612
INTS6-AS1,1.552987878
AP001462.6,0.456922667
CTD-3018O17.3,0.667491238
CTC-471J1.8,0.616639452
CTD-2521M24.9,2.76E-08
RP11-15H20.7,0.705679665
RP11-15H20.6,0.877133792
AC068499.10,0.041851238
RP11-379B18.5,0.060155934
CTD-2017D11.1,1.345606924
CTC-429C10.4,193.1576649
CTC-513N18.7,0.577574637
CTD-3131K8.2,0.38716398
RP11-464F9.20,0.012547
RP11-727F15.11,0.042585196
RP11-98D18.16,2.187417367
RHPN1-AS1,0.341663898
CTD-2619J13.8,0.30847053
CTC-429P9.5,0.606930894
RP4-773N10.4,0.513015157
CTD-3138B18.5,0.283993422
RP11-91G21.1,0.031819544
CTC-429P9.3,1.031736895
RP1-283E3.8,0.415990231
AC093391.2,0.08883268
CTC-246B18.10,0.018602484
RP11-65J3.15,0.000000034
CTC-273B12.8,1.332762785
CTD-2620I22.1,0.582338108
RP11-91G21.2,0.548095478
AC008982.2,1.061376242
RP1-265C24.9,0.210425105
PTOV1-AS1,0.173357926
CTD-2245F17.3,0.697970217
RP11-119F19.2,0.21503141
RP11-727F15.12,0.047537262
CTD-2265M8.2,40.39729681
CTC-523E23.5,385.6569374
CTC-246B18.8,0.550567155
CTC-241F20.3,1.751574088
RP11-120K24.3,0.232656965
RP11-178L8.7,0.011285921
RP1-232P20.1,0.450841936
RP11-793H13.11,0.119141557
RP11-331F9.10,0.269584439
RP11-1020A11.1,0.344573152
RP11-343N15.5,0.568045449
SNHG8,1.17971307
RP11-73M18.8,0.602145465
RP11-326C3.11,0.012562902
RP6-99M1.2,6.58E-08
RNU12,2.069322098
RP5-1172N10.4,1.369753762
CTC-203F4.2,0.06650984
RP11-78O7.2,0.905122063
RP11-271K21.11,0.722596113
RP11-297D21.4,0.080149783
AP000473.8,0.296690567
RP11-73M18.7,0.72424854
SCARNA2,0.83773092
RP11-141B14.1,0.141495512
RNU11,1.371093604
RP11-21N3.1,0.188507469
RP11-540B6.6,0.371439359
RP11-159N11.4,1.540974374
RP5-935K16.1,0.56104827
CTC-1337H24.1,0.547272533
CTD-2410N18.3,0.096382645
RP11-646I6.5,0.157400063
RP11-248J18.2,0.307527536
GRIP2,2904735.662
AC027119.1,2731733.941
AC002511.3,1484203.179
RP5-1033H22.2,10475734.76
RP11-771K4.1,14308355.54
RP11-307C19.2,1131371.017
RP11-62H20.1,6775171.321
SNORD3B-1,340575.7362
RP11-366M4.3,4946014.502
RP11-43D2.6,13537881.64
RP11-392P7.6,3381410.197
RP11-218M22.1,877843.8923
RP11-465L10.7,2283389.453
AC010091.1,16594568.61
RP11-277L2.2,813329.264
AC009948.5,2505039.351
HOTTIP,6173575.486
RP11-128I7.1,3372899.646
RP3-462D8.2,3717091.361
ENOX1-AS2,3582807.728
AP001432.14,1107329.385
RP11-398K22.12,1040446.09
HAR1B,1333313.539
RP11-38P22.2,1571494.999
LINC00617,12178750.32
RP11-381K20.2,3700992.214
RP11-834C11.4,1374225.28
RP11-1C8.4,2649047.475
RP11-363E6.3,1913499.593
RP1-170O19.14,1196333.277
RP11-513D5.2,1841443.126
RP11-117L5.4,1483186.479
RP11-662M24.2,8083268.163
RP11-300J18.3,2020872.356
RP11-526J3.3,1487584.533
RP11-13L2.4,1227019.265
RP11-384P7.7,914548.9757
