gene,hits
EFCAB14,0
CYP4Z2P,0
CYP4A22-AS1,0
PDZK1IP1,1
STIL,1
SPATA6,0
FAF1,2
TTC39A,0
EPS15,1
NRD1,0
RAB3B,2
TXNDC12,0
KTI12,0
CC2D1B,0
ORC1,2
ZCCHC11,1
COA7,0
RPS13P2,0
ECHDC2,0
RP11-334A14.2,0
C1orf123,0
MAGOH,0
LRP8,2
NDC1,0
YIPF1,0
HSPB11,0
TMEM59,0
CYB5RL,0
SSBP3,0
PARS2,0
DHCR24,10
USP24,0
PPAP2B,0
C1orf168,0
RPS26P15,0
OMA1,0
TACSTD2,23
RP4-592A1.2,0
MYSM1,2
JUN,15068
CYP2J2,4
RP11-776H12.1,0
TM2D1,0
DOCK7,0
FOXD3-AS1,0
ITGB3BP,1
JAK1,40
SLC35D1,0
SERBP1,2
GNG12,0
WLS,3
DEPDC1,2
LRRC40,0
ANKRD13C,0
ZRANB2,0
RP4-660H19.1,0
CRYZ,0
SLC44A5,0
PIGK,0
ZZZ3,0
USP33,4
RP11-181C21.4,0
FUBP1,2
RP11-386I14.4,0
TTLL7,0
RP11-486G15.2,0
UOX,0
GNG5,0
CTBS,0
SSX2IP,0
LPAR3,2
MCOLN2,0
SYDE2,0
C1orf52,0
BCL10,2
DDAH1,4
ZNHIT6,0
ODF2L,0
Sep-15,0
GTF2B,1
CCBL2,0
RBMXL1,0
GBP3,0
PTGES3P1,0
GBP2,0
RP5-943J3.2,0
GEMIN8P4,0
RP4-665J23.1,0
PHKA1P1,0
ZNF644,0
TGFBR3,16
SETSIP,0
GLMN,1
GFI1,8
EVI5,1
FAM69A,0
TMED5,1
RP4-717I23.3,0
BCAR3,0
DNTTIP2,0
GCLM,1
ARHGAP29,0
F3,28
LINC01057,0
CNN3,1
ALG14,0
RPL7P9,0
FRRS1,0
RP5-884G6.2,0
SASS6,0
DBT,17
RTCA-AS1,0
EXTL2,0
DPH5,0
RP11-556K13.1,0
VAV3,22
SLC25A24,1
HENMT1,0
CLCC1,0
WDR47,0
TAF13,0
RP5-1065J22.8,0
PSRC1,0
SORT1,2
PSMA5,2
AMIGO1,0
GSTM3,7
LAMTOR5,0
LRIF1,0
DRAM2,0
RP5-1180E21.4,0
RP5-1180E21.5,0
DENND2D,1
PGCP1,0
OVGP1,0
RP11-552M11.8,0
WDR77,15
FAM212B,0
KCND3,0
ST7L,1
RHOC,33
SLC16A1,0
RSBN1,0
AP4B1,0
TRIM33,0
BCAS2,1
DENND2C,0
NRAS,19
CSDE1,2
SIKE1,0
NHLH2,0
ATP1A1-AS1,0
CD58,3
IGSF3,0
TRIM45,0
VTCN1,4
RP11-188D8.1,0
AL390877.1,0
GDAP2,0
TBX15,3
WARS2,0
ZNF697,0
HMGCS2,3
REG4,5
RP5-1042I8.7,0
NOTCH2,19
SEC22B,0
FAM72B,1
CH17-13I23.3,0
HIST2H2BB,0
HIST2H3PS2,0
FAM72C,0
RP11-14N7.2,0
NBPF15,0
RP11-403I13.8,0
NBPF25P,0
RNF115,0
PIAS3,8
PEX11B,0
RBM8A,1
LIX1L,0
ANKRD34A,0
TXNIP,10
NOTCH2NL,0
CH17-385C13.2,0
NBPF13P,0
PRKAB2,1
FMO5,0
CCT8P1,0
ACP6,0
NBPF11,0
RP6-74O6.6,0
LINC01138,1
NBPF14,0
NBPF9,0
HIST2H2BF,1
HIST2H2BE,0
RP11-196G18.22,0
HIST2H2BC,0
SF3B4,0
MTMR11,0
OTUD7B,0
ANP32E,1
APH1A,0
MCL1,52
ENSA,1
GOLPH3L,0
CTSK,18
ARNT,27
CERS2,12
FAM63A,0
CDC42SE1,0
SEMA6C,0
LYSMD1,0
TMOD4,1
VPS72,0
RP11-126K1.2,0
PI4KB,0
RFX5,0
SELENBP1,10
POGZ,1
MRPL9,0
RP11-98D18.16,0
TDRKH,0
RORC,4
THEM4,0
S100A10,3
S100A11,4
S100A7,3
S100A6,3
S100A4,26
S100A16,2
S100A14,2
S100A13,0
ILF2,0
GATAD2B,0
DENND4B,0
CRTC2,11
SLC39A1,18
JTB,12
RAB13,1
TPM3,24
C1orf43,0
SHE,103
UBE2Q1,0
ADAR,7
PMVK,0
PBXIP1,0
PYGO2,4
SHC1,22
DCST2,0
RP11-307C12.11,0
DPM3,1
KRTCAP2,0
THBS3,1
GBAP1,0
GBA,5
FAM189B,0
SCAMP3,0
CLK2,5
RUSC1-AS1,0
ASH1L,1
RP11-29H23.4,0
YY1AP1,3
GON4L,1
RIT1,0
KIAA0907,1
ARHGEF2,2
SSR2,1
UBQLN4,0
MEX3A,0
PAQR6,0
SMG5,1
GLMP,0
CCT3,0
MEF2D,0
IQGAP3,4
GPATCH4,0
RP11-284F21.9,0
RP11-284F21.10,0
RP11-284F21.7,0
CRABP2,3
RP11-66D17.5,0
ISG20L2,0
MRPL24,0
HDGF,5
ARHGEF11,1
ETV3,0
CFAP45,0
TAGLN2,1
IGSF9,0
RP11-226L15.5,0
PIGM,0
IGSF8,2
DCAF8,0
PEX19,1
COPA,7
F11R,1
TSTD1,0
USF1,2
PVRL4,0
PFDN2,0
DEDD,1
RP11-297K8.2,0
B4GALT3,0
ALDH9A1,1
TMCO1,0
RP11-9L18.2,0
TADA1,0
CREG1,0
MPC2,3
GCSHP5,0
GPR161,0
NME7,0
SLC19A2,1
RP1-206D15.5,0
F5,12
SELL,20
METTL18,0
SCYL3,0
KIFAP3,0
PFN1P1,0
VAMP4,0
PIGC,0
TNFSF4,0
RP11-296O14.3,0
CENPL,0
GAS5,19
RC3H1,0
MRPS14,0
KIAA0040,0
RFWD2,1
RP11-568K15.1,0
ABL2,4
TOR1AIP2,0
RP11-533E19.7,0
ACBD6,0
KIAA1614-AS1,0
STX6,0
GLUL,2
RNASEL,104
RGS16,1
HMGN1P4,0
NMNAT2,1
ARPC5,1
EDEM3,2
FAM129A,3
TRMT1L,1
IVNS1ABP,0
TPR,22
RP11-142L4.3,0
UCHL5,5
RP11-101E13.5,0
GLRX2,0
ASPM,6
ZBTB41,0
DENND1B,0
ZNF281,1
KIF14,2
DDX59,0
TMEM9,0
LAD1,0
PHLDA3,1
CSRP1,1
RP11-465N4.5,0
RP11-465N4.4,0
